,remote_host,remote_logname,remote_user,request_first_line,request_method,request_url,request_http_ver,request_url_scheme,request_url_netloc,request_url_path,request_url_password,request_url_hostname,status,response_bytes_clf,request_header_referer,request_header_user_agent,request_header_user_agent__browser__family,request_header_user_agent__browser__version_string,request_header_user_agent__os__family,request_header_user_agent__os__version_string,request_header_user_agent__is_mobile,id,request_url_port
20,192.168.1.4,-,-,GET http://tanuki.5ch.net/livebase/subject.txt HTTP/1.1,GET,http://tanuki.5ch.net/livebase/subject.txt,1.1,http,tanuki.5ch.net,/livebase/subject.txt,0,tanuki.5ch.net,200,2646,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",Chrome,78.0.3904,Windows,10,FALSE,20,0
21,192.168.1.4,-,-,GET http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/1- HTTP/1.1,GET,http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/1-,1.1,http,tanuki.5ch.net,/test/read.cgi/livebase/1619848260/1-,0,tanuki.5ch.net,410,540,http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",Chrome,61.0.3163,Windows,10,FALSE,21,0
22,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,358453,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,22,443
23,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,3555,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,23,443
24,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,345596,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,24,443
25,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,285843,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,25,443
26,192.168.1.4,-,-,CONNECT teams.microsoft.com:443 HTTP/1.1,CONNECT,teams.microsoft.com:443,1.1,,,teams.microsoft.com:443,0,0,200,6486,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Teams/1.4.00.8872 Chrome/80.0.3987.163 Electron/8.5.5 Safari/537.36",Electron,8.5.5,Windows,10,FALSE,26,443
27,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,176373,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,27,443
28,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,307062,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,28,443
29,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,91787,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,29,443
30,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,287640,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,30,443
31,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,89935,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,31,443
32,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,300505,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,32,443
33,192.168.1.4,-,-,CONNECT japanwest-prod.notifications.teams.microsoft.com:443 HTTP/1.1,CONNECT,japanwest-prod.notifications.teams.microsoft.com:443,1.1,,,japanwest-prod.notifications.teams.microsoft.com:443,0,0,200,6446,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Teams/1.4.00.8872 Chrome/80.0.3987.163 Electron/8.5.5 Safari/537.36",Electron,8.5.5,Windows,10,FALSE,33,443
34,192.168.1.4,-,-,GET http://tanuki.5ch.net/livebase/subject.txt HTTP/1.1,GET,http://tanuki.5ch.net/livebase/subject.txt,1.1,http,tanuki.5ch.net,/livebase/subject.txt,0,tanuki.5ch.net,200,2646,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",Chrome,78.0.3904,Windows,10,FALSE,34,0
35,192.168.1.4,-,-,GET http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/1- HTTP/1.1,GET,http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/1-,1.1,http,tanuki.5ch.net,/test/read.cgi/livebase/1619848260/1-,0,tanuki.5ch.net,410,540,http://tanuki.5ch.net/test/read.cgi/livebase/1619848260/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",Chrome,61.0.3163,Windows,10,FALSE,35,0
36,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,91728,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,36,443
37,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,288277,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,37,443
38,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,90380,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,38,443
39,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,293068,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,39,443
40,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,91351,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,40,443
41,192.168.1.4,-,-,CONNECT r3---sn-3pm7snez.googlevideo.com:443 HTTP/1.1,CONNECT,r3---sn-3pm7snez.googlevideo.com:443,1.1,,,r3---sn-3pm7snez.googlevideo.com:443,0,0,200,279401,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,41,443
42,192.168.1.4,-,-,CONNECT live.nicovideo.jp:443 HTTP/1.1,CONNECT,live.nicovideo.jp:443,1.1,,,live.nicovideo.jp:443,0,0,200,5013,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome,90.0.4430,Windows,10,FALSE,42,443
